OSEBuildingID,CouncilDistrictCode,Age,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking(%),PropertyGFABuilding(s)(%),LargestPropertyUseTypeGFA,ENERGYSTARScore,EnergyStarNaN,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(%),Electricity(%),NaturalGas(%),TotalGHGEmissions,GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Office,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
777,3,100,1.0,2,60122,0.0,100.0,60122.0,0.0,1,11.5,12.39999962,32.70000076,35.59999847,690529.5,745830.3125,0.0,593029.0,97500.0,9.31,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
778,2,106,1.0,6,95000,14.421052631578949,85.57894736842105,84481.0,83.0,0,48.0,50.5,148.8999939,157.0,4052720.0,4269199.5,0.0,3983832.0,68888.0,31.43,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
779,7,45,1.0,9,224857,0.0,100.0,204993.0,79.0,0,74.5,78.80000305,195.6999969,200.8999939,15272491.0,16162013.0,4047481.0,11225008.0,0.0,390.67,1.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,2,18,1.0,8,446261,27.963008194755982,72.03699180524403,343400.0,96.0,0,39.5,39.5,124.0999985,124.0999985,13568148.0,13568148.0,0.0,13568146.0,0.0,94.59,0.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,2,77,1.0,2,58492,0.0,100.0,58500.0,0.0,1,27.29999924,31.60000038,54.29999924,58.79999924,1594422.5,1849863.625,0.0,717806.0,876616.0,51.56,0.88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
783,2,109,1.0,6,62370,0.0,100.0,49473.0,30.0,0,72.69999695,72.69999695,228.3000031,228.3000031,4353025.0,4353025.0,0.0,4353024.0,0.0,30.35,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
784,2,56,1.0,1,73296,0.0,100.0,77800.0,83.0,0,30.29999924,34.79999924,61.79999924,66.69999695,2356376.75,2709055.0,0.0,1117577.0,1238800.0,73.58,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
785,2,72,1.0,4,99122,0.0,100.0,50036.0,0.0,1,146.0,146.5,422.3999939,423.0,14469228.0,14522162.0,0.0,12766128.0,1703098.0,179.45,1.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
786,2,31,1.0,1,66133,0.0,100.0,60787.0,0.0,1,82.40000153,84.80000305,231.8999939,234.3999939,6345009.5,6528948.0,0.0,5354420.0,990589.0,89.94,1.36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
787,2,64,1.0,2,115668,0.0,100.0,101752.0,0.0,1,30.79999924,33.59999847,62.59999847,65.5,3534690.75,3847929.5,0.0,1657935.0,1876755.0,111.23,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
791,2,46,1.0,1,141686,0.0,100.0,152511.0,0.0,1,43.79999924,44.79999924,137.3999939,140.8000031,6673138.0,6837936.0,0.0,6673137.0,0.0,46.52,0.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
792,2,66,1.0,1,93610,0.0,100.0,101278.0,95.0,0,61.29999924,65.0,144.0,146.1999969,6235947.0,6612733.0,0.0,3877758.0,2358189.0,152.28,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
